sector,sector_name_vi,growth_rate_2024_pct,productivity_million_VND_per_worker,spillover_coef_0_1,export_billion_USD,labor,risk,ai_readiness_0_100,a1,a2,b1,c1,d1,vulnerable,include_labor_model
Nông-Lâm-Thủy sản,Nông-Lâm-Thủy sản,3.27,103.4,0.35,40.5,13.20,18,15,8.5,12.0,45.0,5.2,50.0,1,1
CN chế biến chế tạo,CN chế biến chế tạo,9.64,241.2,0.78,290.9,11.50,42,55,32.5,18.5,28.0,62.4,32.0,0,1
Xây dựng,Xây dựng,7.45,168.8,0.42,2.5,4.80,25,20,12.8,8.5,35.0,18.5,42.0,1,1
Khai khoáng,Khai khoáng,-1.20,1290.5,0.30,8.2,0.30,55,30,,,,,,0,0
Bán buôn-bán lẻ,Bán buôn-bán lẻ,7.10,145.3,0.55,5.5,7.80,38,48,22.4,15.2,32.0,48.2,38.0,1,1
Tài chính-Ngân hàng,Tài chính-Ngân hàng,7.36,1072.4,0.85,1.2,0.55,52,72,45.8,12.5,22.0,72.5,26.0,0,1
Logistics-Vận tải,Logistics-Vận tải,9.93,321.4,0.72,3.1,1.95,35,42,28.5,16.8,30.0,42.8,36.0,0,1
CNTT-Truyền thông,CNTT-Truyền thông,7.85,713.8,0.92,178.0,0.62,28,88,62.5,15.0,20.0,32.5,24.0,0,1
Giáo dục-Đào tạo,Giáo dục-Đào tạo,6.42,205.7,0.65,0.0,2.15,22,38,18.5,22.0,55.0,12.5,62.0,0,1
Y tế,Y tế,6.85,437.1,0.60,0.0,0.75,18,45,,,,,,0,0
